name,instance,type,image_id,metric,low,high,ave,median,launch_time
PLATFORM-V1,i-064d627315b5d36c6,c5.xlarge,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,57.0,71.0,64.0,64.0,2018-08-11 03:55:11+00:00,subnet-f29df896,vpc-fdb92d85
SIGNALING-FC,i-0637be5fa10059d0f,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,3.0,22.0,3.8799999999999999,3.0,2018-10-09 14:39:38+00:00,subnet-ab20ecf6,vpc-fdb92d85
CONSUL-SERVER,i-0118cd579123dd02d,m4.large,xen,hvm,x86_64,True,ami-e39f1099,,CPUUtilization,3.0833333334885502,3.75,3.3300000000000001,3.3333333333333299,2017-11-28 11:42:00+00:00,subnet-ad3ff3f0,vpc-fdb92d85
SIGNALING-NFC,i-09334e4044c8f21b5,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,57.0,66.0,59.829999999999998,59.5,2018-08-13 14:56:34+00:00,subnet-b392f7d7,vpc-fdb92d85
PLATFORM-V1,i-013bfadcc60ddc5cf,c5.xlarge,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,57.0,72.0,63.789999999999999,63.5,2018-10-02 22:47:32+00:00,subnet-ad3ff3f0,vpc-fdb92d85
PLATFORM-V1,i-07422335557b66fba,c5.xlarge,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,57.0,67.0,62.25,62.0,2018-10-02 23:51:45+00:00,subnet-b911da96,vpc-fdb92d85
UNIFIER,i-00688c6220f4a1fb7,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,2.0,3.0,2.0800000000000001,2.0,2018-08-26 19:10:41+00:00,subnet-260f6142,vpc-e4c4a49c
CASSANDRA,i-03ed9975ec40a4744,c3.4xlarge,xen,hvm,x86_64,True,ami-64111e73,,CPUUtilization,23.708333332712499,72.020833333178103,30.829999999999998,27.06770833348855,2018-03-18 11:54:22+00:00,,
PLATFORM-V1,i-08fff2a32296e889b,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,3.0,4.0,3.79,4.0,2018-08-27 07:54:29+00:00,subnet-8ad10cd7,vpc-e4c4a49c
P2P,i-0d6fc32f5a8601b16,m3.large,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,41.166666666201003,68.916666666045799,55.159999999999997,55.909153005385605,2018-08-28 20:51:27+00:00,subnet-ab20ecf6,vpc-fdb92d85
KA,i-060067a53a9666a4a,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,2.0,3.0,2.0800000000000001,2.0,2018-05-14 11:32:24+00:00,subnet-260f6142,vpc-e4c4a49c
UAT_FLIR_BRIEFCAM_ASG_CONSUMER,i-ab0656bd,t2.micro,xen,hvm,x86_64,False,ami-2051294a,UAT_FLIR_BRIEFCAMPU,CPUUtilization,0.169491525433595,0.67796610169738203,0.28000000000000003,0.32786885246617298,2016-09-29 19:03:41+00:00,subnet-c250b59b,vpc-72ce1417
P2P,i-0c4e63e773a84726c,m3.large,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,41.5833333336438,75.166666666821897,58.890000000000001,62.1666666663562,2018-08-25 17:11:35+00:00,subnet-ab20ecf6,vpc-fdb92d85
